Company,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
healthpeakPropertiesInc,0.042,18.68,60,3.0,1.0,4.0,1000.0,10.0,45.0,38.0,6.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bungeLimited,0.042,21.81,100,8.0,1.0,3.0,1000.0,20.0,52.0,46.0,0.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
huntingtonIngallsIndustries,0.041,11.8,90,4.0,1.0,2.0,1000.0,40.0,29.0,27.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
jBHuntTransportServicesI,0.04,14.52,100,6.0,1.0,3.0,1000.0,0.0,36.0,36.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
dassaultSystemes,0.039,4.63,40,3.0,1.0,1.0,1000.0,40.0,12.0,11.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
sartoriusAgV,0.039,4.73,100,7.0,1.0,3.0,1000.0,30.0,12.0,11.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
fordMotorCompany,0.037,5.51,40,5.0,1.0,4.0,1000.0,0.0,15.0,14.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
archerDanielsMidlandCompany,0.036,11.39,100,5.0,1.0,4.0,1000.0,0.0,32.0,28.0,1.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
ralphLaurenCorporation,0.034,12.85,100,5.0,1.0,3.0,1000.0,30.0,38.0,37.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
cencoraInc,0.034,13.97,100,8.0,1.0,4.0,1000.0,10.0,41.0,39.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
republicServicesInc,0.033,12.82,100,2.0,1.0,3.0,1000.0,10.0,39.0,33.0,3.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
lockheedMartinCorporation,0.032,12.88,90,4.0,1.0,4.0,1000.0,0.0,40.0,31.0,0.0,9.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bioTechneCorp,0.031,8.73,100,4.0,1.0,3.0,1000.0,10.0,28.0,28.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
hcaHealthcareInc,0.031,4.9,100,4.0,1.0,4.0,1000.0,10.0,16.0,16.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
coterraEnergyInc,0.03,12.57,90,7.0,1.0,2.0,1000.0,20.0,42.0,39.0,0.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
totalEnergies,0.029,11.43,30,6.0,1.0,4.0,1000.0,50.0,40.0,38.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
chubbLimited,0.028,10.32,100,4.0,1.0,2.0,1000.0,10.0,37.0,31.0,0.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bectonDickinsonAndCompany,0.027,11.98,90,2.0,1.0,4.0,1000.0,30.0,45.0,43.0,2.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
intercontinentalExchangeInc,0.026,5.89,100,3.0,1.0,4.0,1000.0,20.0,23.0,21.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
abbvieInc,0.026,5.64,100,3.0,1.0,4.0,1000.0,10.0,22.0,16.0,3.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
lindePlc,0.025,10.55,100,5.0,1.0,4.0,1000.0,10.0,43.0,39.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
gskPlc,0.025,13.66,60,2.0,1.0,1.0,1000.0,20.0,54.0,25.0,0.0,29.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
