Action,Best profit,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-05-31-12-27-53,1.85%,TP50,41.0,5.0,3.0,,,,80.0,26.0,63,"['TP30', 'TP50']","range(1, 50, 10)","range(1, 11)","range(1, 4)",,
2025-05-31-12-29-16,2.23%,TP50,48.0,6.0,3.0,,,,85.0,2.0,82,['TP50'],"range(1, 50)","range(1, 7)","range(1, 4)",,
2025-05-31-12-45-40,3.14%,TP75,83.0,5.0,5.0,,,,64.0,0.0,104,"['TP30', 'TP50', 'TP75']","range(1, 101, 2)","[1, 2, 5]","range(1, 6)",,
2025-05-31-12-54-17,2.94%,TP50,66.0,5.0,5.0,100.0,,,99.0,0.0,69,"['TP30', 'TP50']","range(1, 101, 5)","[1, 2, 5]","range(1, 6)","range(100, 1000, 100)",
2025-05-31-13-01-22,1.43%,TP50,71.0,5.0,5.0,100.0,,,99.0,0.0,69,"['TP30', 'TP50']","range(1, 101, 10)","[1, 2, 5]","range(1, 6)","range(100, 1000, 200)",
2025-05-31-13-13-13,1.14%,TP50,71.0,5.0,5.0,100.0,,,99.0,0.0,69,"['TP30', 'TP50']","range(1, 101, 10)","[1, 2, 5]","range(1, 6)","range(100, 1000, 200)",
2025-05-31-13-16-55,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-05-31-16-22-07,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-05-31-16-22-55,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6, 2)","range(100, 300, 300)",
2025-06-01-11-20-37,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-11-25-12,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-11-30-22,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-11-31-01,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-11-35-56,1.14%,,,,,,,,,,,,,,,,
2025-06-01-11-38-43,1.14%,,,,,,,,,,,,,,,,
2025-06-01-11-43-23,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-12-27-31,1.14%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-14-25-59,1.1%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
2025-06-01-15-33-01,1.1%,TP50,63.0,5.0,5.0,100.0,,,64.0,1.0,103,"['TP50', 'TP75']","range(60, 81, 3)","[1, 2, 5]","range(1, 6)","range(100, 1000, 300)",
